open file error: Sleipnir.20170610.2//6582.dividend
fread failed : Sleipnir.20170610.2//6582.dividend
open file error: Sleipnir.20170610.2//6582.earning.month
fread failed : Sleipnir.20170610.2//6582.earning.month
open file error: Sleipnir.20170610.2//6582.earning.season
fread failed : Sleipnir.20170610.2//6582.earning.season
open file error: Sleipnir.20170610.2//6582.price
fread failed : Sleipnir.20170610.2//6582.price
open file error: Sleipnir.20170610.2//6213.dividend
fread failed : Sleipnir.20170610.2//6213.dividend
save data failed
fread failed : Sleipnir.20170610.2//3708.earning.month
skcodelist.codenum = 701 
泰銘(9927),95,29.00,22.45,25.55,8.98,2.84,0.00,0.00,0.00,0.00,
,96,84.80,26.50,48.07,13.14,3.66,0.00,0.00,0.00,0.00,
,97,65.60,12.00,40.33,6.60,6.11,6.60,0.47,16.36,20.07,
,98,49.60,13.65,32.36,12.61,2.57,0.00,0.00,0.00,0.00,
,99,49.90,33.00,40.30,12.10,3.33,3.50,0.50,8.68,13.00,
,100,43.60,26.85,35.84,10.35,3.46,2.30,0.00,6.42,6.42,
,101,32.00,24.75,28.24,21.81,1.29,1.60,0.00,5.67,5.67,
,102,39.10,30.25,33.65,14.01,2.40,2.20,0.25,6.54,8.81,
,103,41.50,33.00,35.44,10.59,3.35,2.00,0.00,5.64,5.64,
,104,42.00,26.55,33.93,10.64,3.19,2.50,0.00,7.37,7.37,
,105,37.70,26.60,31.01,11.63,2.67,2.00,0.00,6.45,6.45,
,106,39.85,34.40,37.19,10.40,3.58,2.50,0.00,6.72,6.72,
,1060609,39.05,39.05,39.05,8.96,4.36,2.50,0.00,6.40,6.40,
,49.92,27.83,
華固(2548),95,81.70,53.90,68.28,10.16,6.72,0.00,0.00,0.00,0.00,
,96,89.30,50.50,65.22,9.71,6.72,0.00,0.00,0.00,0.00,
,97,140.00,25.90,77.32,8.06,9.59,5.50,1.50,7.11,18.80,
,98,90.40,32.70,67.70,6.19,10.93,4.91,0.00,7.25,7.25,
,99,93.50,70.60,84.11,8.35,10.07,5.96,0.60,7.09,12.30,
,100,98.70,55.70,79.12,7.04,11.23,6.19,0.30,7.82,10.50,
,101,78.50,58.70,68.49,11.13,6.15,5.60,0.20,8.18,9.97,
,102,109.00,70.80,85.02,10.01,8.50,5.00,0.00,5.88,5.88,
,103,82.90,48.15,68.07,5.72,11.91,5.50,0.00,8.08,8.08,
,104,71.90,49.30,61.22,6.73,9.10,5.00,0.00,8.17,8.17,
,105,62.80,51.10,55.74,11.39,4.89,5.50,0.00,9.87,9.87,
,106,71.00,60.10,66.79,9.60,6.96,5.60,0.00,8.38,8.38,
,1060609,67.80,67.80,67.80,7.43,9.13,5.60,0.00,8.26,8.26,
,79.28,16.94,
智易(3596),98,90.60,62.50,74.72,16.66,4.48,3.14,0.10,4.20,5.15,
,99,96.50,57.60,71.59,15.03,4.76,2.30,0.20,3.21,5.11,
,100,62.20,26.75,43.22,9.13,4.73,1.10,1.10,2.55,12.06,
